ticker,name,sector,close,setup_type,n_factors,weighted,rev_score,mom_score,tech,macro,funda,hits
4462.T,石原ケミカル,化学,3530.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4968.T,荒川化学工業,化学,1840.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6858.T,小野測器,電気機器,902.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6336.T,石井表記,機械,1622.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5331.T,ノリタケ,ガラス・土石製品,4230.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6264.T,マルマエ,機械,2511.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6479.T,ミネベアミツミ,電気機器,4618.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
166A.T,タスキホールディングス,不動産業,1112.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4310.T,ドリームインキュベータ,サービス業,2731.0,momentum,12,10.4,5.4,10.4,7,1,4,high_volatility;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8151.T,東陽テクニカ,卸売業,1960.0,momentum,12,10.4,5.4,10.4,7,1,4,high_volatility;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
