ticker,name,sector,close,setup_type,n_factors,weighted,rev_score,mom_score,tech,macro,funda,hits
9256.T,サクシード,サービス業,4440.0,momentum,13,11.4,5.4,11.4,8,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6223.T,西部技研,機械,2311.0,momentum,13,11.4,5.4,11.4,8,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6327.T,北川精機,機械,5680.0,momentum,13,11.4,5.4,11.4,8,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4973.T,日本高純度化学,化学,6030.0,momentum,13,11.4,5.4,11.4,8,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3441.T,山王,金属製品,3655.0,momentum,13,11.4,5.4,11.4,8,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6298.T,ワイエイシイホールディングス,機械,1415.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6336.T,石井表記,機械,2088.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4968.T,荒川化学工業,化学,2194.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7726.T,黒田精工,機械,1436.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4420.T,イーソル,情報・通信業,812.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6823.T,リオン,電気機器,3775.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4462.T,石原ケミカル,化学,3485.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3776.T,ブロードバンドタワー,情報・通信業,275.0,momentum,12,11.1,5.1,11.1,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6997.T,日本ケミコン,電気機器,5360.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3449.T,テクノフレックス,金属製品,9330.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6479.T,ミネベアミツミ,電気機器,4922.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3891.T,ニッポン高度紙工業,パルプ・紙,9560.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4062.T,イビデン,電気機器,24785.0,momentum,12,10.9,4.9,10.9,8,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4238.T,ミライアル,化学,1845.0,momentum,12,10.4,4.4,10.4,7,1,4,high_volatility;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4667.T,アイサンテクノロジー,情報・通信業,1996.0,momentum,12,10.2,5.4,10.2,7,1,4,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;near_highs;positive_rs;momentum_up
4175.T,ｃｏｌｙ,情報・通信業,2214.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4064.T,日本カーバイド工業,化学,3630.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3374.T,内外テック,卸売業,3370.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5367.T,ニッカトー,ガラス・土石製品,1917.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4691.T,ワシントンホテル,サービス業,2712.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7875.T,竹田ｉＰホールディングス,その他製品,974.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
2962.T,テクニスコ,金属製品,1369.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6844.T,新電元工業,電気機器,3810.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3131.T,シンデン・ハイテックス,卸売業,3435.0,momentum,11,10.8,5.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6338.T,タカトリ,機械,1805.0,momentum,11,10.8,4.8,10.8,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6981.T,村田製作所,電気機器,11030.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6627.T,テラプローブ,電気機器,12820.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7245.T,大同メタル工業,輸送用機器,1675.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
9247.T,ＴＲＥホールディングス,サービス業,2070.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6859.T,エスペック,電気機器,4415.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8035.T,東京エレクトロン,電気機器,69900.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5333.T,ＮＧＫ,ガラス・土石製品,7478.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7715.T,長野計器,精密機器,4510.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5471.T,大同特殊鋼,鉄鋼,2770.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6237.T,イワキポンプ,機械,3485.0,momentum,11,10.6,4.6,10.6,8,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6616.T,トレックス・セミコンダクター,電気機器,2525.0,momentum,11,10.3,7.1,10.3,7,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,9446.0,momentum,11,10.1,6.9,10.1,7,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs
4047.T,関東電化工業,化学,3880.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
166A.T,タスキホールディングス,不動産業,1164.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6762.T,ＴＤＫ,電気機器,3816.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
9824.T,泉州電業,卸売業,7090.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
319A.T,技術承継機構,金属製品,17080.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4419.T,Ｆｉｎａｔｅｘｔホールディングス,情報・通信業,1317.0,momentum,11,9.9,3.9,9.9,7,1,3,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4813.T,ＡＣＣＥＳＳ,情報・通信業,355.0,reversal,11,9.4,9.4,6.1,7,1,3,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;revenue_growth;not_overvalued;off_highs;below_sma25;recent_dip;deep_drawdown
6707.T,サンケン電気,電気機器,10110.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6752.T,パナソニック　ホールディングス,電気機器,4454.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6622.T,ダイヘン,電気機器,18420.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6266.T,タツモ,機械,4580.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
2802.T,味の素,食料品,5480.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6905.T,コーセル,電気機器,1487.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6490.T,ＰＩＬＬＡＲ,機械,10210.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5991.T,日本発條,金属製品,3939.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7740.T,タムロン,精密機器,1190.0,momentum,10,10.3,4.3,10.3,8,1,1,high_volatility;volume_surge;vol_expansion;smallcap_leadership;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6994.T,指月電機製作所,電気機器,1377.0,momentum,10,10.0,4.0,10.0,7,1,2,high_volatility;volume_surge;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6998.T,日本タングステン,電気機器,2134.0,momentum,10,10.0,5.8,10.0,7,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs
3433.T,トーカロ,金属製品,3230.0,momentum,10,9.6,3.6,9.6,7,1,2,high_volatility;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6999.T,ＫＯＡ,電気機器,2883.0,momentum,10,9.6,3.6,9.6,7,1,2,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6856.T,堀場製作所,電気機器,27425.0,momentum,10,9.6,3.6,9.6,7,1,2,high_volatility;vol_expansion;smallcap_leadership;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5232.T,住友大阪セメント,ガラス・土石製品,5977.0,momentum,10,9.6,3.6,9.6,7,1,2,high_volatility;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4179.T,ジーネクスト,情報・通信業,502.0,momentum,10,9.3,7.1,9.3,7,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;positive_rs;momentum_up
3559.T,ピーバンドットコム,卸売業,406.0,reversal,10,9.1,9.1,5.8,7,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;off_highs;below_sma25;recent_dip;deep_drawdown
3803.T,イメージ情報開発,情報・通信業,446.0,reversal,10,9.1,9.1,5.8,7,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;off_highs;below_sma25;recent_dip;deep_drawdown
9412.T,スカパーＪＳＡＴ,情報・通信業,2794.0,reversal,10,8.9,8.9,8.3,7,1,2,high_volatility;volume_surge;vol_expansion;smallcap_leadership;earnings_growth;not_overvalued;off_highs;below_sma25;recent_dip;deep_drawdown
8291.T,日産東京販売ホールディングス,小売業,565.0,momentum,10,8.8,3.8,8.8,7,1,2,volume_surge;vol_expansion;smallcap_leadership;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
