ticker,name,sector,close,setup_type,n_factors,weighted,rev_score,mom_score,tech,macro,funda,hits
9278.T,ブックオフグループホールディングス,小売業,2733.0,momentum,11,10.8,4.8,10.8,8,0,3,high_volatility;volume_surge;vol_expansion;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3864.T,三菱製紙,パルプ・紙,1091.0,momentum,11,10.8,4.8,10.8,8,0,3,high_volatility;volume_surge;vol_expansion;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8366.T,滋賀銀行,銀行業,2606.0,momentum,11,10.6,5.6,10.6,8,0,3,high_volatility;volume_surge;vol_expansion;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4092.T,日本化学工業,化学,5050.0,momentum,11,10.1,4.1,10.1,7,0,4,high_volatility;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8624.T,いちよし証券,証券、商品先物取引業,1497.0,momentum,11,10.1,4.1,10.1,7,0,4,high_volatility;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8537.T,大光銀行,銀行業,2825.0,momentum,11,9.1,3.1,9.1,7,0,4,volume_surge;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
296A.T,令和アカウンティング・ホールディングス,サービス業,905.0,momentum,11,9.1,3.1,9.1,7,0,4,volume_surge;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
2492.T,インフォマート,サービス業,549.0,momentum,10,10.3,4.3,10.3,8,0,2,high_volatility;volume_surge;vol_expansion;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
6237.T,イワキポンプ,機械,4855.0,momentum,10,10.3,4.3,10.3,8,0,2,high_volatility;volume_surge;vol_expansion;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3132.T,マクニカホールディングス,卸売業,3082.0,momentum,10,9.8,6.6,9.8,7,0,3,high_volatility;volume_surge;vol_expansion;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs
2652.T,まんだらけ,小売業,405.0,momentum,10,9.8,5.8,9.8,7,0,3,high_volatility;volume_surge;vol_expansion;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;momentum_up
4258.T,網屋,情報・通信業,4330.0,momentum,10,9.8,3.8,9.8,7,0,3,high_volatility;vol_expansion;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7806.T,ＭＴＧ,その他製品,7530.0,momentum,10,9.6,4.6,9.6,7,0,3,high_volatility;vol_expansion;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8344.T,山形銀行,銀行業,4020.0,momentum,10,9.6,3.6,9.6,7,0,3,high_volatility;vol_expansion;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
