ticker,t0,fwd_max_ret
3498.T,2023-10-05,1.063
3498.T,2024-08-05,1.386
3498.T,2025-04-07,1.115
3547.T,2025-02-28,1.044
3558.T,2023-10-16,1.006
3561.T,2022-08-09,1.022
3565.T,2024-08-02,1.022
3565.T,2025-04-07,1.099
3563.T,2024-08-05,1.124
3563.T,2025-02-12,1.02
3608.T,2023-01-10,1.027
3624.T,2024-12-13,1.0
3625.T,2025-04-07,1.003
3628.T,2022-02-21,1.156
3648.T,2025-04-07,1.035
3656.T,2025-03-31,1.007
3656.T,2025-10-03,1.067
3661.T,2022-01-25,1.167
3660.T,2022-02-09,1.188
3663.T,2024-08-05,1.129
3667.T,2022-11-29,1.239
3667.T,2023-10-30,1.038
3675.T,2021-07-13,1.003
3679.T,2022-11-28,1.029
3680.T,2021-08-12,1.052
3687.T,2023-09-21,1.066
3687.T,2025-11-26,1.262
3686.T,2022-01-27,1.028
3691.T,2025-10-28,1.115
3692.T,2023-09-26,1.064
3692.T,2024-11-05,1.159
3692.T,2025-05-15,2.036
3697.T,2024-08-01,1.027
3696.T,2023-09-21,1.001
3696.T,2024-06-13,1.009
3719.T,2023-02-22,1.013
3719.T,2024-02-07,1.008
3747.T,2024-09-06,1.003
3747.T,2025-03-19,1.184
3753.T,2024-12-02,1.0
3760.T,2021-12-21,1.133
3773.T,2022-05-09,1.043
3779.T,2023-03-14,1.0
3791.T,2024-04-19,1.014
3778.T,2022-12-14,1.893
3778.T,2023-06-27,1.004
3778.T,2023-12-28,3.777
3778.T,2024-08-05,1.34
3788.T,2022-01-27,1.009
3798.T,2025-04-07,1.034
3793.T,2022-01-27,1.072
3793.T,2023-08-01,1.026
3803.T,2025-01-21,1.121
3803.T,2025-07-25,1.623
3807.T,2025-04-07,1.036
3810.T,2024-08-01,1.035
3825.T,2021-12-20,1.186
3825.T,2024-05-21,1.012
3825.T,2024-11-21,1.399
3858.T,2023-08-28,1.159
3853.T,2025-02-17,1.364
3853.T,2025-11-13,1.147
3856.T,2022-01-06,1.019
3856.T,2022-07-13,1.11
3856.T,2023-01-19,3.769
3856.T,2025-02-20,1.058
3865.T,2023-07-04,1.038
3865.T,2024-07-01,1.002
3891.T,2025-06-30,1.001
3891.T,2026-01-06,1.671
3904.T,2022-06-17,1.004
3903.T,2022-03-11,1.02
3903.T,2024-08-05,1.244
3903.T,2025-04-07,1.279
3905.T,2023-07-25,1.003
3905.T,2024-01-30,4.451
3905.T,2024-11-27,1.032
3905.T,2025-06-06,1.258
3905.T,2025-12-10,1.994
3911.T,2022-10-28,1.01
3915.T,2022-05-12,1.145
3915.T,2026-03-02,1.044
3927.T,2021-08-04,1.035
3936.T,2021-07-30,18.565
3936.T,2022-02-03,1.006
3936.T,2025-02-10,1.892
3968.T,2023-08-10,1.059
3963.T,2022-04-22,1.0
3985.T,2025-02-28,1.005
3987.T,2025-04-07,1.016
3984.T,2022-12-07,1.06
3989.T,2022-10-28,1.019
3989.T,2024-03-14,1.014
3992.T,2025-04-07,1.053
3993.T,2022-12-20,1.042
3993.T,2023-08-10,1.034
3997.T,2025-02-12,1.195
3997.T,2025-08-22,1.157
3994.T,2023-10-26,1.006
3994.T,2026-02-24,1.081
3996.T,2023-12-07,1.002
4011.T,2023-02-21,2.979
4011.T,2023-09-04,1.02
4004.T,2025-04-03,1.071
4004.T,2025-10-07,1.3
4022.T,2025-04-04,1.062
4022.T,2025-10-08,1.087
4027.T,2025-12-11,1.041
4046.T,2023-04-26,1.026
4054.T,2022-02-24,1.006
4047.T,2025-08-12,1.14
4047.T,2026-02-18,1.595
4055.T,2022-12-08,1.065
4055.T,2025-10-29,1.032
4061.T,2025-10-29,1.001
4068.T,2024-12-20,1.011
4069.T,2025-03-11,1.008
4062.T,2023-02-22,1.041
4062.T,2025-02-20,1.051
4062.T,2025-08-26,1.68
4062.T,2026-03-05,1.845
4071.T,2025-04-07,1.159
4072.T,2025-02-20,1.005
4074.T,2022-11-04,1.055
4078.T,2025-11-20,1.212
4092.T,2025-11-14,1.031
4082.T,2025-10-27,1.648
4107.T,2023-10-04,1.105
4107.T,2024-04-11,1.244
4107.T,2025-07-04,1.028
4099.T,2025-07-30,1.124
4165.T,2022-05-24,1.002
4165.T,2024-05-24,1.006
4168.T,2022-05-19,1.003
