ret_1m,ret_3m,ret_6m,ret_12m,dist_52w_high,drawdown_252,px_to_sma25,px_to_sma200,above_sma25,above_sma200,sma_aligned,vol_ratio,atr_pct,range_60,vcp,px_to_sma50,above_sma50,sma50_slope,near_52w_high,at_new_high,rvol_20,turnover_trend,consec_up_5d,rs_6m,rs_3m,rs_12m,mkt_above_200,mkt_ret_6m,growth_ret_6m,growth_minus_mkt_6m,pit_rev_growth,pit_op_growth,pit_profit_growth,pit_roe,pit_op_margin,pit_psr,pit_market_cap,pit_small_cap,label,ticker,n_factors,setup_type,rev_score,mom_score
-0.08030559846611718,-0.13859597435850757,0.1032186128805046,0.34029491719202376,0.858381548175426,-0.141618451824574,0.9326912670379534,1.037017329228901,0.0,1.0,0.0,0.994448424068768,0.0203289795023063,0.15430923953415956,0.549899305893394,0.9375405736068022,0.0,-0.025191716219475246,0.0,0.0,0.16349132573305591,0.9305993832069093,0.0,-0.021518454206499005,-0.10939751534574715,0.10252921081864419,1.0,0.1247370670870036,-0.06830697070407077,-0.19304403779107437,0.1535942422393506,0.167206648823778,0.20100136549840686,0.11593145869947276,0.08943914338759121,0.15059001608517888,27902522900.390625,1.0,1,6622.T,2,momentum,2.0,3.0
0.05446287884275747,0.03720234538793288,0.010794609941862987,-0.05285369036242005,0.869956410410289,-0.13004358958971096,1.0244576102710246,1.0367348187010779,1.0,1.0,0.0,1.3309698657888074,0.024697678873582065,0.17934000607512177,1.004665079124285,1.0705947091331742,1.0,0.047934843026770535,0.0,0.0,0.22956195873507226,0.9785566289041341,2.0,-0.03654631456021007,-0.030617374519179563,-0.10850979280575579,1.0,0.047340924502073056,0.18893463897711937,0.14159371447504632,0.20047621320351494,0.06792079207920798,-0.27482720989450704,0.08644152315152742,0.07146990612921038,0.2712156164153092,61396435166.015625,0.0,1,6622.T,6,momentum,2.1,5.9
0.020661117250953653,0.378604479452719,0.2531320017098213,0.30894837852883805,0.9439491090498936,-0.0560508909501064,1.0010537656938177,1.3798280882654603,1.0,1.0,1.0,0.3284470168226321,0.029111252993248134,0.3414304444058543,0.7993100429586614,1.0451635019459944,1.0,0.16664733648009378,1.0,0.0,0.32414872857452404,0.5085104216027154,2.0,0.2441316601364285,0.3630794780054065,0.27778333416405676,1.0,0.0090003415733928,0.15624412264180632,0.14724378106841352,,,,0.053026624031231484,0.01891498454003468,0.10308669942954515,1824758696.2890625,1.0,1,4439.T,6,momentum,0.3,6.3
-0.15647402481530015,-0.14052428742457246,-0.1909385229618945,-0.1450349446787289,0.6396606744155043,-0.36033932558449566,0.8741105914019247,0.9042274140564641,0.0,0.0,1.0,1.7857601026298908,0.05289285765276337,0.23900007767084597,1.0626798555096018,0.8648947775439291,0.0,0.039616950457927125,0.0,0.0,0.44690125191787117,0.9940818331353817,1.0,-0.341467233920663,-0.20538701939949822,-0.46603467955930444,1.0,0.15052871095876852,-0.0651929347860265,-0.21572164574479502,0.15991160827252204,3.927515844428914,3.2749277376113657,0.18627947611968254,0.08035430058067883,0.1690892908434891,3471712912.5976562,1.0,1,4439.T,7,reversal,8.1,5.0
-0.16409386945368543,0.04444454865311642,-0.03613601910515729,-0.06648556938811412,0.6890733796029688,-0.31092662039703123,0.8569797689972656,0.9415628170435564,0.0,0.0,1.0,0.3623703927949746,0.034638978179506695,0.497792069532131,0.5220290615688113,0.8847012514335758,0.0,0.08838877794041555,0.0,0.0,0.3626265127603921,0.2657790774917551,1.0,0.029844784424222337,0.13698289030851918,0.02617720523962408,0.0,-0.06598080352937963,-0.08349514563106797,-0.01751434210168834,0.028776002879020934,2.727472375451763,1.2424031179695172,0.07805344622818147,0.045098058086272035,0.0901014896514946,861319423.828125,1.0,1,4673.T,4,reversal,4.3,1.2
-0.04012345679012341,-0.11898016997167138,-0.07988165680473369,-0.28009259259259256,0.7300469483568075,-0.2699530516431925,0.9556293018682399,0.9938483662219382,0.0,0.0,1.0,0.812817130293471,0.03514010105649977,0.24115755627009647,0.8716161630257451,0.9555705770294354,0.0,0.002772984964259262,0.0,0.0,0.4176268249181311,1.043409641064889,1.0,-0.09294334311304142,-0.1325713832283365,-0.2846133896281775,1.0,0.01306168630830773,0.15686274509803932,0.1438010587897316,0.17625411762517929,-1.8282828282828283,-2.0424046882201883,-3.258077793784729,-0.029657240093995625,0.07026036550779574,35550410000.0,1.0,1,6366.T,5,reversal,4.6,1.5
0.5927835051546391,0.6747967479674797,0.9871382636655948,0.8284023668639053,0.9888,-0.011199999999999988,1.3288036466844415,1.7113424900310146,1.0,1.0,1.0,2.983673884158395,0.0638002773925104,0.40938511326860844,1.3527899592100043,1.4350067338503691,1.0,0.1049930723046133,1.0,0.0,0.7342574883818368,2.0416773804787263,2.0,0.8142601615394689,0.6202907089461109,0.6297807033978591,1.0,0.17287810212612587,-0.049794688536054954,-0.22267279066218082,-0.09686529731353544,,,1.1384998312521093,0.053443450212158815,0.20058638550973917,91661760000.0,0.0,1,6366.T,8,momentum,3.8,9.8
-0.016352208990383033,-0.024937771149278087,-0.12917596173933665,-0.09280748089477187,0.7301587311244788,-0.2698412688755212,0.9779889848843947,0.9298785879459018,0.0,0.0,0.0,1.1587737051195564,0.030233837016359337,0.1368287807872548,1.1150857084133439,0.9795079907116768,0.0,0.012068350906309089,0.0,0.0,0.32139111030901807,1.1180747347344808,1.0,-0.16846334280746222,-0.07327601532262717,-0.32850040648932266,1.0,0.03928738106812557,-0.07758620689655171,-0.11687358796467728,,,,,,,,,1,5726.T,5,reversal,5.1,0.8
-0.07442211370893681,0.5489718081969326,0.6381071467586468,0.42650308064401776,0.8154040883551388,-0.18459591164486122,0.9285567860713738,1.359634223004816,0.0,1.0,1.0,0.8823129382939935,0.06317605947300577,0.5636221427798961,0.9881752558459598,0.9609612499092122,0.0,0.2522921756679395,0.0,0.0,0.7814731255262026,0.8973684322849984,2.0,0.7012675104999863,0.5809817962589101,0.4528574685959392,0.0,-0.06316036374133949,-0.4030373831775701,-0.3398770194362306,,,,,,,,,1,5726.T,4,momentum,4.0,5.7
-0.2649749746514086,-0.28881149010857865,-0.48249684968410234,-0.47029757339260814,0.4458888335122732,-0.5541111664877267,0.690388462386109,0.6101253247161643,0.0,0.0,0.0,1.5188185420353735,0.08070261170144725,0.6408202094649538,1.473481003274751,0.6982862113664381,0.0,0.03832731769729514,0.0,0.0,0.8797372070511359,1.5998492025012505,0.0,-0.33257552514157585,-0.11534902442586836,-0.30667234567069224,0.0,-0.1499213245425265,-0.1987849056017803,-0.04886358105925381,0.2843478664623671,0.7334866220735785,1.2080674567000913,0.25161658919157553,0.1499041972452189,1.5701533885564287,86864025761.71875,0.0,1,5726.T,7,reversal,8.1,3.8
